scenario_name,run,run_id,method,step_index,sector,risk_value,I_q,I_cl,case_label,scenario_type
S3_transport_load,290,290,quantitative,1,transport,0.917989,1,0,q_only,marginal
S3_transport_load,290,290,classical,0,transport,0.0,1,0,q_only,marginal
S3_transport_load,290,290,classical,1,transport,0.0,1,0,q_only,marginal
S3_transport_load,44,44,quantitative,0,energy,0.666667,1,0,near_threshold,marginal
S3_transport_load,44,44,quantitative,1,energy,0.699167,1,0,near_threshold,marginal
S3_transport_load,44,44,classical,0,energy,0.0,1,0,near_threshold,marginal
S3_transport_load,44,44,classical,1,energy,0.0,1,0,near_threshold,marginal
S3_transport_load,44,44,quantitative,0,water,0.266667,1,0,near_threshold,marginal
S3_transport_load,44,44,quantitative,1,water,0.390334,1,0,near_threshold,marginal
S3_transport_load,44,44,classical,0,water,0.0,1,0,near_threshold,marginal
S3_transport_load,44,44,classical,1,water,0.0,1,0,near_threshold,marginal
S3_transport_load,44,44,quantitative,0,transport,0.333333,1,0,near_threshold,marginal
S3_transport_load,44,44,quantitative,1,transport,0.398512,1,0,near_threshold,marginal
S3_transport_load,44,44,classical,0,transport,0.0,1,0,near_threshold,marginal
S3_transport_load,44,44,classical,1,transport,0.0,1,0,near_threshold,marginal
S3_transport_load,305,305,quantitative,0,energy,0.666667,1,1,both_detect,marginal
S3_transport_load,305,305,quantitative,1,energy,0.989231,1,1,both_detect,marginal
S3_transport_load,305,305,classical,0,energy,0.0,1,1,both_detect,marginal
S3_transport_load,305,305,classical,1,energy,1.0,1,1,both_detect,marginal
S3_transport_load,305,305,quantitative,0,water,0.266667,1,1,both_detect,marginal
S3_transport_load,305,305,quantitative,1,water,0.612762,1,1,both_detect,marginal
S3_transport_load,305,305,classical,0,water,0.0,1,1,both_detect,marginal
S3_transport_load,305,305,classical,1,water,1.0,1,1,both_detect,marginal
S3_transport_load,305,305,quantitative,0,transport,0.333333,1,1,both_detect,marginal
S3_transport_load,305,305,quantitative,1,transport,1.0,1,1,both_detect,marginal
S3_transport_load,305,305,classical,0,transport,0.0,1,1,both_detect,marginal
S3_transport_load,305,305,classical,1,transport,1.0,1,1,both_detect,marginal
S3_transport_load,961,961,quantitative,0,energy,0.666667,1,1,both_detect,marginal
S3_transport_load,961,961,quantitative,1,energy,0.936793,1,1,both_detect,marginal
S3_transport_load,961,961,classical,0,energy,0.0,1,1,both_detect,marginal
S3_transport_load,961,961,classical,1,energy,1.0,1,1,both_detect,marginal
S3_transport_load,961,961,quantitative,0,water,0.266667,1,1,both_detect,marginal
S3_transport_load,961,961,quantitative,1,water,0.446751,1,1,both_detect,marginal
S3_transport_load,961,961,classical,0,water,0.0,1,1,both_detect,marginal
S3_transport_load,961,961,classical,1,water,1.0,1,1,both_detect,marginal
S3_transport_load,961,961,quantitative,0,transport,0.333333,1,1,both_detect,marginal
S3_transport_load,961,961,quantitative,1,transport,1.0,1,1,both_detect,marginal
S3_transport_load,961,961,classical,0,transport,0.0,1,1,both_detect,marginal
S3_transport_load,961,961,classical,1,transport,1.0,1,1,both_detect,marginal
S3_transport_load,305,305,quantitative,0,energy,0.666667,1,1,max_delta,marginal
S3_transport_load,305,305,quantitative,1,energy,0.989231,1,1,max_delta,marginal
S3_transport_load,305,305,classical,0,energy,0.0,1,1,max_delta,marginal
S3_transport_load,305,305,classical,1,energy,1.0,1,1,max_delta,marginal
S3_transport_load,305,305,quantitative,0,water,0.266667,1,1,max_delta,marginal
S3_transport_load,305,305,quantitative,1,water,0.612762,1,1,max_delta,marginal
S3_transport_load,305,305,classical,0,water,0.0,1,1,max_delta,marginal
S3_transport_load,305,305,classical,1,water,1.0,1,1,max_delta,marginal
S3_transport_load,305,305,quantitative,0,transport,0.333333,1,1,max_delta,marginal
S3_transport_load,305,305,quantitative,1,transport,1.0,1,1,max_delta,marginal
S3_transport_load,305,305,classical,0,transport,0.0,1,1,max_delta,marginal
S3_transport_load,305,305,classical,1,transport,1.0,1,1,max_delta,marginal
S3_transport_load,19,19,quantitative,0,energy,0.666667,0,0,both_miss,marginal
S3_transport_load,19,19,quantitative,1,energy,0.762933,0,0,both_miss,marginal
S3_transport_load,19,19,classical,0,energy,0.0,0,0,both_miss,marginal
S3_transport_load,19,19,classical,1,energy,0.0,0,0,both_miss,marginal
S3_transport_load,19,19,quantitative,0,water,0.266667,0,0,both_miss,marginal
S3_transport_load,19,19,quantitative,1,water,0.330844,0,0,both_miss,marginal
S3_transport_load,19,19,classical,0,water,0.0,0,0,both_miss,marginal
S3_transport_load,19,19,classical,1,water,0.0,0,0,both_miss,marginal
S3_transport_load,19,19,quantitative,0,transport,0.333333,0,0,both_miss,marginal
S3_transport_load,19,19,quantitative,1,transport,0.65422,0,0,both_miss,marginal
S3_transport_load,19,19,classical,0,transport,0.0,0,0,both_miss,marginal
S3_transport_load,19,19,classical,1,transport,0.0,0,0,both_miss,marginal
S3_transport_load,364,364,quantitative,0,energy,0.666667,0,0,near_threshold,marginal
S3_transport_load,364,364,quantitative,1,energy,0.766223,0,0,near_threshold,marginal
S3_transport_load,364,364,classical,0,energy,0.0,0,0,near_threshold,marginal
S3_transport_load,364,364,classical,1,energy,0.0,0,0,near_threshold,marginal
S3_transport_load,364,364,quantitative,0,water,0.266667,0,0,near_threshold,marginal
S3_transport_load,364,364,quantitative,1,water,0.333037,0,0,near_threshold,marginal
S3_transport_load,364,364,classical,0,water,0.0,0,0,near_threshold,marginal
S3_transport_load,364,364,classical,1,water,0.0,0,0,near_threshold,marginal
S3_transport_load,364,364,quantitative,0,transport,0.333333,0,0,near_threshold,marginal
S3_transport_load,364,364,quantitative,1,transport,0.665186,0,0,near_threshold,marginal
S3_transport_load,364,364,classical,0,transport,0.0,0,0,near_threshold,marginal
S3_transport_load,364,364,classical,1,transport,0.0,0,0,near_threshold,marginal
S4_water_partial,342,342,quantitative,0,energy,0.666667,1,0,q_only,partial_degradation
S4_water_partial,342,342,quantitative,1,energy,1.0,1,0,q_only,partial_degradation
S4_water_partial,342,342,classical,0,energy,0.0,1,0,q_only,partial_degradation
S4_water_partial,342,342,classical,1,energy,0.0,1,0,q_only,partial_degradation
S4_water_partial,342,342,quantitative,0,water,0.266667,1,0,q_only,partial_degradation
S4_water_partial,342,342,quantitative,1,water,1.0,1,0,q_only,partial_degradation
S4_water_partial,342,342,classical,0,water,0.0,1,0,q_only,partial_degradation
S4_water_partial,342,342,classical,1,water,0.0,1,0,q_only,partial_degradation
S4_water_partial,342,342,quantitative,0,transport,0.333333,1,0,q_only,partial_degradation
S4_water_partial,342,342,quantitative,1,transport,1.0,1,0,q_only,partial_degradation
S4_water_partial,342,342,classical,0,transport,0.0,1,0,q_only,partial_degradation
S4_water_partial,342,342,classical,1,transport,0.0,1,0,q_only,partial_degradation
S4_water_partial,2,2,quantitative,0,energy,0.666667,1,1,max_delta,partial_degradation
S4_water_partial,2,2,quantitative,1,energy,1.0,1,1,max_delta,partial_degradation
S4_water_partial,2,2,classical,0,energy,0.0,1,1,max_delta,partial_degradation
S4_water_partial,2,2,classical,1,energy,1.0,1,1,max_delta,partial_degradation
S4_water_partial,2,2,quantitative,0,water,0.266667,1,1,max_delta,partial_degradation
S4_water_partial,2,2,quantitative,1,water,1.0,1,1,max_delta,partial_degradation
S4_water_partial,2,2,classical,0,water,0.0,1,1,max_delta,partial_degradation
S4_water_partial,2,2,classical,1,water,1.0,1,1,max_delta,partial_degradation
S4_water_partial,2,2,quantitative,0,transport,0.333333,1,1,max_delta,partial_degradation
S4_water_partial,2,2,quantitative,1,transport,1.0,1,1,max_delta,partial_degradation
S4_water_partial,2,2,classical,0,transport,0.0,1,1,max_delta,partial_degradation
S4_water_partial,2,2,classical,1,transport,1.0,1,1,max_delta,partial_degradation
