run,run_id,seed,before,after,delta,duration,I_q,I_cl,theta_classical,delta_sector_threshold,method_q_total_before,method_q_total_after,method_cl_total_before,method_cl_total_after,delta_R,stochastic_scale,cl_activated_sectors,cl_first_activation_step,risk_trajectory_q,risk_trajectory_cl,before_vec_q,after_vec_q,delta_vec_q,before_vec_cl,after_vec_cl,delta_vec_cl
11,11,4180284048419860391,0.0,0.38677061677061697,0.38677061677061697,18,1,1,0.3,0.1,0.0,0.38677061677061697,0.0,0.7,0.38677061677061697,0.3,"[""transport""]",1,"[{""energy"": 0.5772695772695775, ""water"": 0.230907830907831, ""transport"": 0.28863478863478875}, {""energy"": 0.5772695772695775, ""water"": 0.230907830907831, ""transport"": 0.28863478863478875}, {""energy"": 0.5772695772695775, ""water"": 0.230907830907831, ""transport"": 0.28863478863478875}]","[{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}]","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.5772695772695775, ""water"": 0.230907830907831, ""transport"": 0.28863478863478875}","{""energy"": 0.5772695772695775, ""water"": 0.230907830907831, ""transport"": 0.28863478863478875}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}"
12,12,1419375267737132077,0.0,0.19982456140350863,0.19982456140350863,20,1,0,0.3,0.1,0.0,0.19982456140350863,0.0,0.0,0.19982456140350863,0.3,[],,"[{""energy"": 0.2982456140350875, ""water"": 0.119298245614035, ""transport"": 0.14912280701754374}, {""energy"": 0.2982456140350875, ""water"": 0.119298245614035, ""transport"": 0.14912280701754374}, {""energy"": 0.2982456140350875, ""water"": 0.119298245614035, ""transport"": 0.14912280701754374}, {""energy"": 0.2982456140350875, ""water"": 0.119298245614035, ""transport"": 0.14912280701754374}, {""energy"": 0.2982456140350875, ""water"": 0.119298245614035, ""transport"": 0.14912280701754374}]","[{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}]","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.2982456140350875, ""water"": 0.119298245614035, ""transport"": 0.14912280701754374}","{""energy"": 0.2982456140350875, ""water"": 0.119298245614035, ""transport"": 0.14912280701754374}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}"
13,13,10907243672656662725,0.0,0.19982456140350863,0.19982456140350863,22,1,0,0.3,0.1,0.0,0.19982456140350863,0.0,0.0,0.19982456140350863,0.3,[],,"[{""energy"": 0.2982456140350875, ""water"": 0.119298245614035, ""transport"": 0.14912280701754374}, {""energy"": 0.2982456140350875, ""water"": 0.119298245614035, ""transport"": 0.14912280701754374}, {""energy"": 0.2982456140350875, ""water"": 0.119298245614035, ""transport"": 0.14912280701754374}, {""energy"": 0.2982456140350875, ""water"": 0.119298245614035, ""transport"": 0.14912280701754374}]","[{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}]","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.2982456140350875, ""water"": 0.119298245614035, ""transport"": 0.14912280701754374}","{""energy"": 0.2982456140350875, ""water"": 0.119298245614035, ""transport"": 0.14912280701754374}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}"
14,14,13284237644975952319,0.0,0.6620521945432978,0.6620521945432978,17,1,1,0.3,0.1,0.0,0.6620521945432978,0.0,0.7,0.6620521945432978,0.3,"[""transport""]",1,"[{""energy"": 0.9881376037959668, ""water"": 0.39525504151838675, ""transport"": 0.4940688018979834}, {""energy"": 0.9881376037959668, ""water"": 0.39525504151838675, ""transport"": 0.4940688018979834}, {""energy"": 0.9881376037959668, ""water"": 0.39525504151838675, ""transport"": 0.4940688018979834}, {""energy"": 0.9881376037959668, ""water"": 0.39525504151838675, ""transport"": 0.4940688018979834}]","[{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}]","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.9881376037959668, ""water"": 0.39525504151838675, ""transport"": 0.4940688018979834}","{""energy"": 0.9881376037959668, ""water"": 0.39525504151838675, ""transport"": 0.4940688018979834}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}"
15,15,12638769697176371513,0.0,0.6620521945432978,0.6620521945432978,21,1,1,0.3,0.1,0.0,0.6620521945432978,0.0,0.7,0.6620521945432978,0.3,"[""transport""]",1,"[{""energy"": 0.9881376037959668, ""water"": 0.39525504151838675, ""transport"": 0.4940688018979834}, {""energy"": 0.9881376037959668, ""water"": 0.39525504151838675, ""transport"": 0.4940688018979834}, {""energy"": 0.9881376037959668, ""water"": 0.39525504151838675, ""transport"": 0.4940688018979834}]","[{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}]","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.9881376037959668, ""water"": 0.39525504151838675, ""transport"": 0.4940688018979834}","{""energy"": 0.9881376037959668, ""water"": 0.39525504151838675, ""transport"": 0.4940688018979834}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}"
16,16,10571313377567964352,0.0,0.19982456140350863,0.19982456140350863,5,1,0,0.3,0.1,0.0,0.19982456140350863,0.0,0.0,0.19982456140350863,0.3,[],,"[{""energy"": 0.2982456140350875, ""water"": 0.119298245614035, ""transport"": 0.14912280701754374}, {""energy"": 0.2982456140350875, ""water"": 0.119298245614035, ""transport"": 0.14912280701754374}, {""energy"": 0.2982456140350875, ""water"": 0.119298245614035, ""transport"": 0.14912280701754374}, {""energy"": 0.2982456140350875, ""water"": 0.119298245614035, ""transport"": 0.14912280701754374}]","[{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}]","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.2982456140350875, ""water"": 0.119298245614035, ""transport"": 0.14912280701754374}","{""energy"": 0.2982456140350875, ""water"": 0.119298245614035, ""transport"": 0.14912280701754374}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}"
17,17,12791974859758374200,0.0,0.32020080321285155,0.32020080321285155,11,1,0,0.3,0.1,0.0,0.32020080321285155,0.0,0.0,0.32020080321285155,0.3,[],,"[{""energy"": 0.4779116465863456, ""water"": 0.19116465863453824, ""transport"": 0.2389558232931728}, {""energy"": 0.4779116465863456, ""water"": 0.19116465863453824, ""transport"": 0.2389558232931728}, {""energy"": 0.4779116465863456, ""water"": 0.19116465863453824, ""transport"": 0.2389558232931728}, {""energy"": 0.4779116465863456, ""water"": 0.19116465863453824, ""transport"": 0.2389558232931728}]","[{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}, {""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}]","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.4779116465863456, ""water"": 0.19116465863453824, ""transport"": 0.2389558232931728}","{""energy"": 0.4779116465863456, ""water"": 0.19116465863453824, ""transport"": 0.2389558232931728}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}"
18,18,1628850213820180097,0.0,0.57577727099962,0.57577727099962,13,1,1,0.3,0.1,0.0,0.57577727099962,0.0,0.7,0.57577727099962,0.3,"[""transport""]",1,"[{""energy"": 0.8593690611934626, ""water"": 0.34374762447738505, ""transport"": 0.4296845305967313}, {""energy"": 0.8593690611934626, ""water"": 0.34374762447738505, ""transport"": 0.4296845305967313}, {""energy"": 0.8593690611934626, ""water"": 0.34374762447738505, ""transport"": 0.4296845305967313}, {""energy"": 0.8593690611934626, ""water"": 0.34374762447738505, ""transport"": 0.4296845305967313}, {""energy"": 0.8593690611934626, ""water"": 0.34374762447738505, ""transport"": 0.4296845305967313}]","[{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}]","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.8593690611934626, ""water"": 0.34374762447738505, ""transport"": 0.4296845305967313}","{""energy"": 0.8593690611934626, ""water"": 0.34374762447738505, ""transport"": 0.4296845305967313}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}"
19,19,8257143991331053827,0.0,0.5351006711409396,0.5351006711409396,25,1,1,0.3,0.1,0.0,0.5351006711409396,0.0,0.7,0.5351006711409396,0.3,"[""transport""]",1,"[{""energy"": 0.7986577181208053, ""water"": 0.3194630872483222, ""transport"": 0.39932885906040266}, {""energy"": 0.7986577181208053, ""water"": 0.3194630872483222, ""transport"": 0.39932885906040266}, {""energy"": 0.7986577181208053, ""water"": 0.3194630872483222, ""transport"": 0.39932885906040266}, {""energy"": 0.7986577181208053, ""water"": 0.3194630872483222, ""transport"": 0.39932885906040266}, {""energy"": 0.7986577181208053, ""water"": 0.3194630872483222, ""transport"": 0.39932885906040266}]","[{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}]","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.7986577181208053, ""water"": 0.3194630872483222, ""transport"": 0.39932885906040266}","{""energy"": 0.7986577181208053, ""water"": 0.3194630872483222, ""transport"": 0.39932885906040266}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}"
20,20,15841932615964434040,0.0,0.67,0.67,20,1,1,0.3,0.1,0.0,0.67,0.0,0.7,0.67,0.3,"[""transport""]",1,"[{""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}, {""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}, {""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}, {""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}, {""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}]","[{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}, {""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}]","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}","{""energy"": 1.0, ""water"": 0.4, ""transport"": 0.5}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 0.0, ""transport"": 1.0}"
